Category_Name,Category_Url,Main_Category
Azijn,https://www.plus.nl/producten/soepen-conserven-sauzen-smaakmakers/azijn,https://www.plus.nl/producten/soepen-conserven-sauzen-smaakmakers
Wijn (Oud),https://www.plus.nl/producten/wijn-bier-sterke-drank/wijn-oud-,https://www.plus.nl/producten/wijn-bier-sterke-drank
Wijn,https://www.plus.nl/producten/wijn-bier-sterke-drank/wijn,https://www.plus.nl/producten/wijn-bier-sterke-drank
Bier,https://www.plus.nl/producten/wijn-bier-sterke-drank/bier,https://www.plus.nl/producten/wijn-bier-sterke-drank
"Aperitieven, mixdranken",https://www.plus.nl/producten/wijn-bier-sterke-drank/aperitieven-mixdranken,https://www.plus.nl/producten/wijn-bier-sterke-drank
Sterke dranken,https://www.plus.nl/producten/wijn-bier-sterke-drank/sterke-dranken,https://www.plus.nl/producten/wijn-bier-sterke-drank
Siroop (Oud),https://www.plus.nl/producten/frisdrank-sappen-koffie-thee/siroop-oud-,https://www.plus.nl/producten/frisdrank-sappen-koffie-thee
Frisdrank,https://www.plus.nl/producten/frisdrank-sappen-koffie-thee/frisdrank,https://www.plus.nl/producten/frisdrank-sappen-koffie-thee
Water,https://www.plus.nl/producten/frisdrank-sappen-koffie-thee/water,https://www.plus.nl/producten/frisdrank-sappen-koffie-thee
Siroop,https://www.plus.nl/producten/frisdrank-sappen-koffie-thee/siroop,https://www.plus.nl/producten/frisdrank-sappen-koffie-thee
"Sappen, fruitdrank",https://www.plus.nl/producten/frisdrank-sappen-koffie-thee/sappen-fruitdrank,https://www.plus.nl/producten/frisdrank-sappen-koffie-thee
Drinkpakjes,https://www.plus.nl/producten/frisdrank-sappen-koffie-thee/drinkpakjes,https://www.plus.nl/producten/frisdrank-sappen-koffie-thee
"Koffie, koffiemelk, suiker",https://www.plus.nl/producten/frisdrank-sappen-koffie-thee/koffie-koffiemelk-suiker,https://www.plus.nl/producten/frisdrank-sappen-koffie-thee
Thee,https://www.plus.nl/producten/frisdrank-sappen-koffie-thee/thee,https://www.plus.nl/producten/frisdrank-sappen-koffie-thee
Verse zuivel,https://www.plus.nl/producten/zuivel-eieren-boter/verse-zuivel,https://www.plus.nl/producten/zuivel-eieren-boter
Houdbare zuivel,https://www.plus.nl/producten/zuivel-eieren-boter/houdbare-zuivel,https://www.plus.nl/producten/zuivel-eieren-boter
Eieren,https://www.plus.nl/producten/zuivel-eieren-boter/eieren,https://www.plus.nl/producten/zuivel-eieren-boter
"Boter, margarine",https://www.plus.nl/producten/zuivel-eieren-boter/boter-margarine,https://www.plus.nl/producten/zuivel-eieren-boter
Vruchtenbrood en overig (Oud),https://www.plus.nl/producten/brood-gebak-bakproducten/vruchtenbrood-en-overig-oud-,https://www.plus.nl/producten/brood-gebak-bakproducten
Brood,https://www.plus.nl/producten/brood-gebak-bakproducten/brood,https://www.plus.nl/producten/brood-gebak-bakproducten
"Zachte broodjes, bolletjes",https://www.plus.nl/producten/brood-gebak-bakproducten/zachte-broodjes-bolletjes,https://www.plus.nl/producten/brood-gebak-bakproducten
"Harde broodjes, snacks",https://www.plus.nl/producten/brood-gebak-bakproducten/harde-broodjes-snacks,https://www.plus.nl/producten/brood-gebak-bakproducten
Afbakbrood,https://www.plus.nl/producten/brood-gebak-bakproducten/afbakbrood,https://www.plus.nl/producten/brood-gebak-bakproducten
"Suikerbrood, vruchtenbrood",https://www.plus.nl/producten/brood-gebak-bakproducten/suikerbrood-vruchtenbrood,https://www.plus.nl/producten/brood-gebak-bakproducten
Luxe cake en koek,https://www.plus.nl/producten/brood-gebak-bakproducten/luxe-cake-en-koek,https://www.plus.nl/producten/brood-gebak-bakproducten
Vers gebak,https://www.plus.nl/producten/brood-gebak-bakproducten/vers-gebak,https://www.plus.nl/producten/brood-gebak-bakproducten
Bakproducten,https://www.plus.nl/producten/brood-gebak-bakproducten/bakproducten,https://www.plus.nl/producten/brood-gebak-bakproducten
Vleeswaren (Oud),https://www.plus.nl/producten/kaas-vleeswaren-tapas/vleeswaren-oud-,https://www.plus.nl/producten/kaas-vleeswaren-tapas
