category_name,category_url
hej organic,https://www.dm.de/marken/hej-organic-52488
Herbacin,https://www.dm.de/marken/herbacin-66902
Herbatint,https://www.dm.de/marken/herbatint-341256
HerzensHund,https://www.dm.de/marken/herzenshund-66894
Hidrofugal,https://www.dm.de/marken/hidrofugal-66888
Himalaya,https://www.dm.de/marken/himalaya-54750
Hipp,https://www.dm.de/marken/hipp
Hipp Babysanft,https://www.dm.de/marken/hipp
Hipp Mama ,https://www.dm.de/marken/hipp-mama-66522
Hipp Mamasanft,https://www.dm.de/marken/hipp-mamasanft-66520
Hobea,https://www.dm.de/marken/hobea-66516
HOFFMANNS,https://www.dm.de/marken/hoffmanns-66510
Höhle der Löwen,https://www.dm.de/marken/hoehle-der-loewen-66504
Hohes C,https://www.dm.de/marken/hohes-c-1449116
Holle baby food,https://www.dm.de/marken/holle-baby-food-66502
Hormocenta,https://www.dm.de/marken/hormocenta-66496
Hübner,https://www.dm.de/marken/huebner-66490
Huggies,https://www.dm.de/marken/huggies-66454
Huggies Little Swimmers,https://www.dm.de/marken/huggies-little-swimmers-518348
Hugo Boss,https://www.dm.de/marken/hugo-boss-66452
Humana,https://www.dm.de/marken/humana-66450
Humble Brush,https://www.dm.de/marken/humble-brush-66448
HUMYDRY,https://www.dm.de/marken/humydry-66446
Hund und Herrchen,https://www.dm.de/marken/hund-herrchen-66444
Huober,https://www.dm.de/marken/huober-66442
Hydrophil,https://www.dm.de/marken/hydrophil-66440
i + m Naturkosmetik Berlin,https://www.dm.de/marken/i-m-naturkosmetik-berlin-52490
IAMS,https://www.dm.de/marken/iams-66434
IBONS,https://www.dm.de/marken/ibons-66426
iChoc,https://www.dm.de/marken/ichoc-66422
Imprägnol,https://www.dm.de/marken/impraegnol-66414
Impresan,https://www.dm.de/marken/impresan-66410
Impulse,https://www.dm.de/marken/impulse-66408
INSTI,https://www.dm.de/marken/insti-66404
invisibobble,https://www.dm.de/marken/invisibobble
ipuro,https://www.dm.de/marken/ipuro-66400
isla,https://www.dm.de/marken/isla-66398
Ivorell,https://www.dm.de/marken/ivorell
IvyBears,https://www.dm.de/marken/ivybears-66392
Jaguar,https://www.dm.de/marken/jaguar-66480
James Bond 007,https://www.dm.de/marken/james-bond-007-66476
Javel,https://www.dm.de/marken/javel-821612
Jean & Len Alchimiste,https://www.dm.de/marken/jean-len-alchemiste-66474
Jean-Paul Gaultier,https://www.dm.de/marken/jean-paul-gaultier-66470
Jean&Len,https://www.dm.de/marken/jean-len-66468
Jessa,https://www.dm.de/marken/jessa
Jessa Diskret,https://www.dm.de/marken/jessa/jessa-diskret-66438
Jil Sander,https://www.dm.de/marken/jil-sander-66436
John Frieda,https://www.dm.de/marken/john-frieda
John Player Special,https://www.dm.de/marken/john-player-special-341996
Jolifine,https://www.dm.de/marken/jolifine-668438
JollyPaw,https://www.dm.de/marken/jollypaw-821674
Joop,https://www.dm.de/marken/joop-66428
JosiCat,https://www.dm.de/marken/josicat-420018
