Product URL,Product image URL,Product name,Amount & unit,Price,Kod/Product code,Product Description
https://apspolska.pl/talerz-plytki-19cm-kera-still-kolor-szary.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/82928d364e2066bf7dd0099872f7a60a","Talerz płytki 19cm KERA Still, kolor szary",,22.50,7.3.2 GRY,"Szerokość 19 cm
wysokość 3 cm"
https://apspolska.pl/talerz-plytki-19cm-kera-still-kolor-kremowy.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/800f5cf5a8ad12f812d4e9b69157fbda","Talerz płytki 19cm KERA Still, kolor kremowy",,22.50,7.3.2 CRE,"Szerokość 19 cm
wysokość 3 cm"
https://apspolska.pl/filizanka-300ml-bel-kera-bez-spodka-kolor-kremowy.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/c188b7e6515eefa86b9d5386a0b2bbb8","Filiżanka 300ml Bel Kera (bez spodka), kolor kremowy",,16.14,1.6 CRE,"Szerokość  8,5 cm
wysokość 9,5 cm"
https://apspolska.pl/product/show/21791.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/345f3f83a0bb8fe537ce5f797e8f79a3","Miska musli 500ml KERA Still, kolor szmaragd",,35.49,7.9 SZM,"Szerokość 13,5 cm
wysokość 7,5cm"
https://apspolska.pl/talerz-gleboki-24cm-kera-still-kolor-szary.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/787691111c3bba3545ea57b0815004b7","Talerz głęboki 24cm KERA Still, kolor szary",,36.41,14.5 GRY,"Szerokość 25,5 cm
wysokość 4,5 cm"
https://apspolska.pl/spodek-15cm-bel-kera-kolor-kremowy.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/f4c71b7517a90a5d4649e0e71a4fb640","Spodek 15cm Bel Kera, kolor kremowy",,11.44,3.4.15 CRE,
https://apspolska.pl/talerz-plytki-27cm-kera-still-kolor-kremowy.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/b0d69905f82ed8e991e7ebefdb44e974","Talerz płytki 27cm KERA Still, kolor kremowy",,36.41,14.2 CRE,"Szerokość 27,5 cm
Wysokość 3 cm"
https://apspolska.pl/miseczka-na-dip-80ml-kera-still-kolor-szmaragd.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/26c1c3c40c4b7166513effb9bf8f166f","Miseczka na dip 80ml KERA Still, kolor szmaragd",,13.46,6.7.4 SZM,"Szerokość 8,5 cm
wysokość 4 cm"
https://apspolska.pl/kubek-do-grzanca-kera-juhas-maly-250ml-kolor-piaskowy-matowy.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/05f19fd2e41e7e346230d45ece1425d0","Kubek do grzańca KERA Juhas mały 250ml, kolor piaskowy matowy",,19.31,1.27 SAN,"Szerokość  8 cm
wysokość 7,5 cm"
https://apspolska.pl/miseczka-na-dip-60ml-kera-still-kolor-agat.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/870e9727097d776416910810fecb40bc","Miseczka na dip 60ml KERA Still, kolor agat",,12.84,6.7.5 AGA,"Szerokość 6,5 cm
wysokość 3 cm"
https://apspolska.pl/talerz-plytki-27cm-kera-still-kolor-seledynowy.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/335cd7de6b587b55f2142995e353f64b","Talerz płytki 27cm KERA Still, kolor seledynowy",,36.41,14.2 SEL,"Szerokość 27,5 cm
Wysokość 3 cm"
https://apspolska.pl/kubek-do-grzanca-kera-juhas-duzy-400ml-kolor-ciemnobrazowy-matowy.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/8ac895750a250cef5d3bf43171efbebc","Kubek do grzańca KERA Juhas duży 400ml, kolor ciemnobrązowy matowy",,20.79,1.26 BRN,"Szerokość 9 cm
wysokość 9 cm"
https://apspolska.pl/miska-musli-300ml-kera-delta-kolor-topaz.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/978675fc652acf648165e5ca973c0222","Miska musli 300ml KERA Delta, kolor topaz",,36.88,15.9 TOP,"Szerokość 13,5 cm
wysokość 6 cm"
